champion,icon_url,threat_level,notes
Ryze,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ryze.png,Even,"Debated putting ryze in minor, but in general this champion counters you. He's just so bad that no one plays it. Avoid eating his Q damage as best you can. Don't stand on your wave when his E spread has been applied as it will just bounce and damage you. Try to E through his CC. Play around phase rush CD for all-in."
Samira,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Samira.png,Even,Avoid fighting this champion in teamfights as she will try to use other players to dash away from you. Your best shot is a solo skirmish and ideally try to stay behind her so she cant dash through you and get away.
Sejuani,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Sejuani.png,Even,Against lane Sejuani always auto and back off so that her passive gets removed. Avoid the second part of her W as it's where all the damage comes from. Otherwise try to E through CC.
Senna,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Senna.png,Even,E through her root and you should kill her in all-in.
Seraphine,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Seraphine.png,Even,"Her double Q does damage based on missing health so be aware and make sure you try to dodge it. Her double W gives fat shielding to all allies in AOE. Her double E is a slow and stun if both land. Therefore, the best time to all-in is when she has just used a combo as she has to stack her passive up again. Pay attention to her R CD. If it's down objectives are free. If it's up don't clump with teammates, try to flank."
Sett,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Sett.png,Major,"If he starts W you can look to trade until his grit gets built up then E away as you can dodge consistently. If he has E you need to tether (walk in and out of range of) his ability to bait the CD so you can get winning trades. When all-inning him do NOT walk in front of him as he will use this to R away with you. Make sure you position behind him like Fizz when you're chasing. Also, be aware to not let him aim his R with you towards your carries."
Shaco,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Shaco.png,Even,"Do not trade/all-in with lane opponent unless you are actively tracking this champion or know where he is. Avoid using your W in lane as it will ALWAYS light up when he is near you, so you can escape ganks for free. His E is an execute. Buy sweeper for his clones. You can tell which clone is the real shaco by whichever takes less damage from AOE abilities like E or stride."
Shen,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Shen.png,Minor,"The most important thing in this matchup is shen Q. Don't let it pass through you, and when he uses it let him waste the enhanced autos on the wave, then you can look to trade. If he uses W then just auto the wave or run away/ in front of him depending on what  you want to do. If he E you can E through the CC. Be careful for his E flash and spam ping his R so your team doesn't die."
Shyvana,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Shyvana.png,Tiny,OK this might be the worst champ in the game. Don't get hit by her E. Don't let her proc PTA with Q. but when she uses R just right click her. Invadable.
Singed,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Singed.png,Minor,Take second wind and you never die. If he tries to apply poison trail just stand and auto never chase. You can E over his W if you aren't in it. Don't let him W+fling you into his tower. If he just flings you it's fine because you just E afterwards and he has no CD. Disengage when he uses R unless you can all-in. Never chase. If he proxy you proxy too.
Sion,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Sion.png,Minor,Save your E to get out of his Q charge. Never tank full Q charge as it increases the damage and CC duration. Take demolish and if he proxy you proxy.
Sivir,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Sivir.png,Minor,"The most important thing is to land W here. Just walk at her and wait. If she just runs, E to gap close. If she uses spell shield ever use W. If she misses spell shield when you E obviously wait until it's gone to W."
Skarner,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Skarner.png,Even,Skarner just got reworked and I'm unsure exactly how the matchup goes top lane. But from the games he has been on the enemy I would think you should avoid skirmishing as he is like a tank version of Kayn.
Smolder,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Smolder.png,Even,"I put this champion in even, but the truth is it's more of a counter. The only reason it isn't major is because smolder is so squishy. If laning versus this mid lane just push and roam for skirmish. Try to interact as little as possible so Smolder can't stack on you for free. Don't skirmish near walls because smolder will use them to disengage with E."
Sona,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Sona.png,Even,Sona can just enhance E you and kite you so be wary of taking skirmish around them. You can E through CC.
Soraka,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Soraka.png,Even,Try to kill this champion first or try to stack your lethal/Kraken onto another champion then E on this champion in skirmish. Dodge her Q as this gives her access to enhanced healing. She will E when you have just used E so make sure to walk out of it fast to avoid CC.
Swain,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Swain.png,Minor,To dodge Swain E you need to have ally minions behind you that catch it when it retracts. Save E for dodging his W. When he uses R try to disengage then reengage when it falls off.
Sylas,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Sylas.png,Even,"This matchup SHOULD be tryndamere favored. Try not to push into him as he wants this to get out of laning phase. Don't be afraid of eating his second E as long as it guarantees you a long trade window. If he steals your R then just force him to use it and disengage. If he uses it before you, you can always kill him."
Syndra,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Syndra.png,Even,Don't stand near your wave so she can't get double value from her Q. Don't E unless her E is down. You outpush her and do almost everything better than her so just outscale.
TahmKench,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/TahmKench.png,Major,"The only reason this champion isn't in extreme is because he is just so useless out of laning phase in MOST comps. Do your best to mitigate giving him an advantage through laning phase. Stand behind your minions to dodge his Q. He will only use W two ways: 1) after he Q slow you to kill in all-in 2) to disengage. Just keep autoing when he procs E for the most part. His R does damage once he spits you out, so try to hold your R for as long as possible while inside him. Remember he can reactivate it early."
Taliyah,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Taliyah.png,Even,"This champion can be quite annoying if she's ahead as her kit counters you, but you will always have kill pressure even when behind if you play well. Her Second Q will slow you and do a lot of damage. Avoid this as best as you can. Tanking the first Qs is fine but try to dodge. Don't E if she lays down W, you always get stunned unless to dodge her E. If you dodge her E, then all-in."
Talon,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Talon.png,Even,"The only reason this champion is even is because he can use walls to disengage from you. Don't let him get melee Qs on you as they do more damage. If he starts W stand away from your minions. You can get prio level 1 as he has no way of procing passive until level 2. Just be careful because he can shove wave faster than you. At level 6 if you haven't built a lead he can always match you, so try to win prior."
Taric,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Taric.png,Major,The reason this champion is in major threat is because he grants passive armor which counters your champion and his E and R are very oppressive in skirmish. Not to mention he can shield. Avoid skirmish with this champion if you can.
Teemo,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Teemo.png,Major,"The main reason this champion isn't in extreme threat is because he is useless out of laning phase. Do your best to mitigate any advantages he accrues in lane. Make sure to build tiamat after boots so that he cant blind you and go invisible. You need a way to damage him while blinded. Your E works, but you need to save this for gap closing. Make sure to get sweeper before he gets level 6 to remove his shrooms in lane and open him up to being ganked."
Thresh,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Thresh.png,Even,Avoid skirmishes with this champion involved. Good thresh players will just lantern their ally to safety and then CC chain you by stacking AH.
Tristana,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Tristana.png,Major,"This champion is a major threat because her kit counters yours. If E is on you always disengage because she can W on your head and recast and safely damage you. There is a window to kill tristana post 6 when her E is on CD and preferrably her Q as well. Post 6, it's almost impossible to kill her unless she's terrible, so just avoid."
Trundle,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Trundle.png,Even,"This champion is much stronger than you level 1, but once you get W you can really abuse trading windows by kiting him out of his W. Find all-ins when his W is on CD and his E is down. You should win post 6 with the lead you accrued pre 6. If he's even with you post 6 try to avoid fighting him as he excels in solo skirmish, similar to you."
Tryndamere,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Tryndamere.png,Even,"This is the definition of an even matchup. Try to auto more than he does and build rage faster and say ""In Sha Allah"" before every auto."
TwistedFate,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/TwistedFate.png,Even,"Just E through his gold card CC. Bait him to throw it on you then cast E towards him to all-in. If he has 6, then just perma shove wave. Be careful of ganks as TF has great set up, so just all-in when you have vision of the enemy jungler."
Twitch,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Twitch.png,Minor,Do NOT chase this champion if he uses Q and you miss W and have no other slow. His Q when he is invisible near you is faster than your ghost (lol). E through his W and R early in anticipation of his E so he doesn't surprise you with burst.
Udyr,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Udyr.png,Even,"Top lane udyr is simply a farm fest. You can CC through his E and empowered E, and you should disengage when he empower W. Pay attention to his rage bar as this dictates how you act. Find all-ins when it is not stacked. Don't stand in his empowered R (duh) and E away if he empower Qs you. You hard win at Kraken Rageblade Armor pen."
Urgot,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Urgot.png,Minor,"FLEET - Stridebreaker | Urgot is constantly forced to push into you which makes this matchup very hard for him. Level 1, just walk up and try to bait him to E on you, then space to dodge or E spin away. Also, when his AOE auto is on CD make sure to stand in that area to avoid receiving extra damage. Once you get W at level 4 you can look for all-ins. Post 6 Tryndamere wins hard. Make sure to not use ulti until the complete end of his ulti animation, because you are invulnerable the whole time you are getting pulled in."
Varus,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Varus.png,Even,"Varus top lane is a tough matchup. Once you spawn, IMMEDIATELY run to the top lane brush to get control. Pull the wave towards you so that the wave is forced to push into you and potentially ask for jungle assistance. Try to E through his E so you can dodge it and prevent him from procing his blight stacks on you for extra damage. Tryndamere can win, but the nature of Varus build allows him to outscale you eventually, so you need to snowball and stay ahead."
Vayne,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Vayne.png,Extreme,"This matchup is only extreme if you are against Saskio vayne. Otherwise, they will not have the competence to out space you well enough. Similar to varus, try to get the wave pulled towards you. If she wastes Q on farming the wave you can look for trades. Otherwise, you must play around her condemn. If she always holds it you need to find a window where you force her to use it. Walking towards Vayne usually does it, especially if they dont have Q to tumble away. When she uses R it is best to disengage. You lose post 6, so do your best to snowball and stay ahead."
Veigar,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Veigar.png,Major,"This champion is not that bad mid lane because you can just outpush and roam, but can be debilitating when he's bot or support. Avoid skirmishes where Veigar is involved unless his E is on CD. Avoid letting him stack AP on you through his spells as much as you can."
VelKoz,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/VelKoz.png,Minor,The best Vel'koz players can MAYBE push this matchup into even. All you need to do is dodge his E and avoid taking poke from his other abilities and he will die.
Vex,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Vex.png,Minor,This champion is a fake tryndamere counter. Her abilities are easy to dodge and you can just eat the CC from her fear and then all-in. In skirmish try to flash her ultimate because she's useless without R resets.
Vi,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Vi.png,Even,"This champion is annoying to skirmish because of her Q knockup and no counterplay ultimate. Try to avoid skirmishes, but you outscale them."
Viego,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Viego.png,Even,Try to fight viego outside of his mist. Try to target him first in skirmishes due to his passive resets. You can E his CC. If you're marked by his Q then don't let him auto again unless you plan on all-in. Don't fight him near walls as he will use his R to disengage you.
Viktor,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Viktor.png,Even,"This champion is super bad before he gets his E upgrade, but he starts to be more useful than you afterwards. Try to find skirmishes before that happens. Don't stay in his stun too long, best to just click out of it. Don't all-in when he uses Q because the auto afterwards gives him MS and does a lot of damage."
Vladimir,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Vladimir.png,Even,Trade around his empowered Q. Once you force his W that is a good time to back off and wait for CDs to reengage later. If he has no PR then you can all-in once he uses W. Make sure to clear the jungle camps once you get prio so that he can't use them to heal.
Volibear,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Volibear.png,Major,"If he starts E level one this is a good opportunity to look for all-ins especially if he uses E on the wave. Your E can go through his Q CC. Don't all-in when he applies W on you. When all-in versus volibear simply walk out of his E and start autoing. It's best if you kite him away so he doesn't get a shield from his E, but if he get's a shield that's fine. What's important is that you dodged the damage."
Warwick,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Warwick.png,Extreme,"This matchup is unwinnable. You need to never trade him and just farm. All the damage you do to him does NOT matter because he will just outheal your future damage at 20% HP. The only way to kill him is if you have antiheal or some burst once he gets low, and even then it's best to just play away."
Wukong,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Wukong.png,Major,"Don't extend the trades if he uses E on you. Left click his champion model and look at the top left to see when his AS from E expires. Then you can begin to trade again. Essentially, when he E you E away. Once he gets Q, you can't really trade back ever especially if he doesn't overlap the abilities. There are kill windows when his abilities are on CD. If he uses W to run away just keep autoing the clone as it could be a fake W. If you think he isn't using W to run away then just disengage. When he uses R always disengage. It's rarely worth to keep fighting unless you're ahead."
Xayah,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Xayah.png,Even,This champion is only even because of her R. Try to flank her so that she cant line  you and your teammates up. Engage when her E or W is on CD.
Xerath,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Xerath.png,Minor,Just E through this champion's CC and you can beat the best even a scripter. Try to use W when he has used all abilities and auto'd you for mana for the highest chance at landing it.
XinZhao,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/XinZhao.png,Minor,This champion is very easy to read. Make sure that you're always tracking his Q autos because he knocks up on the 3rd auto after activating Q. You can  tell because he will use it to auto reset. If you can dodge his W that is the bulk of the damage and makes him useless in skirmish. You naturally counter his champion.
Yasuo,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Yasuo.png,Even,"Yasuo generally wins this matchup at levels 1-3, but that doesn't mean you shouldn't touch the wave at all. Try to tether (move in and out of the range) his Q and look for autos while his Q is on CD. If you can't auto him auto the wave. If his passive is up ALWAYS E away to avoid it soaking up damage. Once you're both 6, look to all-in when he doesn't have access to a minion wave. It's better to fight him under his tower even than fight him in a minion wave."
Yone,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Yone.png,Major,"Rush Kraken into this champion. Skip boots. He benefits from zerk rush way more than you do, so you need to sacrifice MS for Kraken procs. The ideal scenario is to weave Kraken procs in between his knockup CC. So often I will kill yone players just barely with Kraken autos. Avoid trading into his E and W. His E is more important than his R. You can tank his R, but his E gives him too much mobility. The best all-in is to E towards his snap back location when he uses E so that he can't kite you with it. Then, just stand and fight at his E and you should win. When he has 3Q bait him to use it on you and try to side step or be just out of range so you can reengage."
Yorick,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Yorick.png,Minor,The main thing here is to dodge his E and save your E to get out of his W. If you get hit by E then just auto his ghouls. Good yoricks will just walk back into their W if you E out of it so also consider just autoing the W. Try to kill maiden before fighting him if you can.
Yuumi,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Yuumi.png,Minor,"The only tough thing about facing this champion is that it's a forced 2v1 interaction, but since her R doesn't stun anymore it's not that bad at all."
Zac,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Zac.png,Major,The only reason this champion is a major threat is that he has so much utility and 0 counterplay combos. Tryndamere is fairly good into Zac. Step on his blobs when you can and auto him as much as possible. Track enemy JG before you look for all-ins as zac is great at setting up ganks. Anti-heal is very important in this matchup so buy it when you can maybe after kraken rageblade.
Zed,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Zed.png,Even,"The key in this matchup is to play around Zed's W placement and CD. Tryndamere can get prio level 1 and can even have kill pressure pre 6 if Zed positions his W aggressively. You can immediately E in and all-in forcing him to go back to his W, then he's farther from his tower. At 6, you should disengage from his R OR E towards his W placement/ original R cast (pick one) so that you limit the area he can kite you. If he lands Qs, then just pop R early all-in. If he misses you can delay R. Be aware that every E he lands reduces his W CD. Kraken Stride is a good build into Zed."
Zeri,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Zeri.png,Even,Don't skirmish this champion near a wall as she will use E to disengage. If you see her use E then all-in her.
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ziggs.png,Major,"This champion counters tryndamere mid, but luckily the only person that plays it properly is APA. Don't stand near your wave and weave autos in an irregular pattern to make it harder for him to poke you out of lane. When his W is on CD you can all-in."
Zilean,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Zilean.png,Major,"Avoid skirmishes where this champion is present as his slow is crippling. He can also speed your  targets up so they get away and stun you with double Q. Too flexible of a champ. Post 6, his R will prevent you from killing people in teamfights. Don't kill the person he uses R on if you can avoid it."
Zoe,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Zoe.png,Major,The key to this matchup is dodging her E and forcing all-in windows around that. If you do get hit by E in a pure 1v1 scenario then you should E behind minions or E towards her to reduce the damage from her Q (it increases with distance traveled). Try to find all-ins before she gets 3 as when she gets access to W she gets so many ******** items that can be impossible to deal with. You have a better shot post 6 of killing her as well. Avoid skirmishes with this champ or wait for her E to go on CD before all-in.
Zyra,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Zyra.png,Even,"Your champion does a great job of killing her plants, so when she spawns them just one auto them fast so they don't terrorize any of your other teammates. You can E through her E CC. All her DPS is tied to her plants so avoid them if you can. NEVER engage into her R. The knockup and plant combo will guarantee you to die. Try to flank this champion in teamfights."
